cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Malignant neoplasm of ovary (C56),no.,0,1045,1045,0,1144,1144,1.1,C56,NA,1.0947368421052632,1.0947368421052632
Malignant neoplasm of other and unspecified female genital organs (C57),no.,0,100,100,0,113,113,1.1,C57,NA,1.13,1.13
Malignant neoplasm of placenta (C58),no.,0,1,1,0,1,1,1,C58,NA,1,1
Malignant neoplasms of male genital organs  (C60-C63),no.,3899,0,3899,6094,0,6094,1.6,C60-C63,1.5629648627853296,NA,1.5629648627853296
Malignant neoplasm of penis (C60),no.,27,0,27,37,0,37,1.4,C60,1.3703703703703705,NA,1.3703703703703705
Malignant neoplasm of prostate (C61),no.,3835,0,3835,6010,0,6010,1.6,C61,1.5671447196870925,NA,1.5671447196870925
Malignant neoplasm of testis (C62),no.,35,0,35,45,0,45,1.3,C62,1.2857142857142858,NA,1.2857142857142858
Malignant neoplasm of other and unspecified male genital organs (C63),no.,2,0,2,2,0,2,1,C63,1,NA,1
Malignant neoplasms of urinary tract  (C64-C68),no.,1959,871,2830,2713,1098,3811,1.3,C64-C68,1.3848902501276161,1.2606199770378874,1.3466431095406362
"Malignant neoplasm of kidney, except renal pelvis (C64)",no.,678,349,1027,905,441,1346,1.3,C64,1.3348082595870205,1.2636103151862463,1.3106134371957157
Malignant neoplasm of renal pelvis (C65),no.,2,4,6,3,6,9,1.5,C65,1.5,1.5,1.5
Malignant neoplasm of ureter (C66),no.,9,10,19,14,12,26,1.4,C66,1.5555555555555556,1.2,1.368421052631579
Malignant neoplasm of bladder (C67),no.,847,342,1189,1270,449,1719,1.4,C67,1.499409681227863,1.3128654970760234,1.445752733389403
Malignant neoplasm of other and unspecified urinary organs (C68),no.,423,166,589,521,190,711,1.2,C68,1.2316784869976358,1.144578313253012,1.2071307300509337
"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",no.,1030,714,1744,1085,747,1832,1.1,C69-C72,1.0533980582524272,1.046218487394958,1.0504587155963303
Malignant neoplasm of eye and adnexa (C69),no.,28,25,53,36,27,63,1.2,C69,1.2857142857142858,1.08,1.1886792452830188
Malignant neoplasm of meninges (C70),no.,6,5,11,8,6,14,1.3,C70,1.3333333333333333,1.2,1.2727272727272727
Malignant neoplasm of brain (C71),no.,987,676,1663,1030,705,1735,1,C71,1.043566362715299,1.0428994082840237,1.0432952495490078
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",no.,9,8,17,11,9,20,1.2,C72,1.2222222222222223,1.125,1.1764705882352942
Malignant neoplasms of thyroid and other endocrine glands  (C73-C75),no.,105,100,205,141,145,286,1.4,C73-C75,1.3428571428571427,1.45,1.395121951219512
Malignant neoplasm of thyroid gland (C73),no.,74,75,149,107,114,221,1.5,C73,1.445945945945946,1.52,1.483221476510067
Malignant neoplasm of adrenal gland (C74),no.,26,22,48,28,23,51,1.1,C74,1.0769230769230769,1.0454545454545454,1.0625
Malignant neoplasm of other endocrine glands and related structures (C75),no.,5,3,8,6,8,14,1.8,C75,1.2,2.6666666666666665,1.75
"Malignant neoplasms of ill-defined, secondary and unspecified sites (C76-C80)",no.,1630,1434,3064,7453,6368,13821,4.5,C76-C80,4.57239263803681,4.4407252440725244,4.510770234986945
Malignant neoplasm of other and ill-defined sites (C76),no.,71,83,154,88,101,189,1.2,C76,1.2394366197183098,1.216867469879518,1.2272727272727273
Secondary and unspecified malignant neoplasm of lymph nodes (C77),no.,0,0,0,197,155,352,NA,C77,NA,NA,NA
Secondary malignant neoplasm of respiratory and digestive organs (C78),no.,0,0,0,2312,1974,4286,NA,C78,NA,NA,NA
Secondary malignant neoplasm of other and unspecified sites (C79),no.,0,0,0,2925,2561,5486,NA,C79,NA,NA,NA
"Malignant neoplasm, without specification of site (C80)",no.,1559,1351,2910,1931,1577,3508,1.2,C80,1.2386144964720975,1.1672834937083643,1.2054982817869415
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)",no.,3043,2120,5163,4241,2840,7081,1.4,C81-C96,1.3936904370686822,1.3396226415094339,1.3714894441216348
Hodgkin lymphoma (C81),no.,51,44,95,91,60,151,1.6,C81,1.7843137254901962,1.3636363636363635,1.5894736842105264
Follicular lymphoma (C82),no.,53,43,96,93,65,158,1.6,C82,1.7547169811320755,1.5116279069767442,1.6458333333333333
Non-follicular lymphoma (C83),no.,455,270,725,563,330,893,1.2,C83,1.2373626373626374,1.2222222222222223,1.2317241379310344
Mature T/NK-cell lymphomas (C84),no.,95,44,139,116,56,172,1.2,C84,1.2210526315789474,1.2727272727272727,1.2374100719424461
Other and unspecified types of non-Hodgkin lymphoma (C85),no.,396,393,789,662,586,1248,1.6,C85,1.6717171717171717,1.491094147582697,1.5817490494296578
Other specified types of T/NK-cell lymphoma (C86),no.,15,5,20,17,5,22,1.1,C86,1.1333333333333333,1,1.1
Malignant immunoproliferative diseases (C88),no.,32,22,54,64,37,101,1.9,C88,2,1.6818181818181819,1.8703703703703705
Multiple myeloma and malignant plasma cell neoplasms (C90),no.,624,450,1074,805,577,1382,1.3,C90,1.2900641025641026,1.2822222222222222,1.2867783985102421
Lymphoid leukaemia (C91),no.,294,202,496,548,332,880,1.8,C91,1.8639455782312926,1.6435643564356435,1.7741935483870968
Myeloid leukaemia (C92),no.,805,523,1328,967,621,1588,1.2,C92,1.2012422360248447,1.187380497131931,1.1957831325301205
Monocytic leukaemia (C93),no.,110,47,157,159,68,227,1.4,C93,1.4454545454545455,1.446808510638298,1.4458598726114649
Other leukaemias of specified cell type (C94),no.,10,3,13,11,3,14,1.1,C94,1.1,1,1.0769230769230769
Leukaemia of unspecified cell type (C95),no.,76,56,132,103,77,180,1.4,C95,1.355263157894737,1.375,1.3636363636363635
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",no.,27,18,45,42,23,65,1.4,C96,1.5555555555555556,1.2777777777777777,1.4444444444444444
Malignant neoplasms of independent (primary) multiple sites  (C97-C97),no.,0,0,0,0,0,0,NA,C97-C97,NA,NA,NA
Malignant neoplasms of independent (primary) multiple sites (C97),no.,0,0,0,0,0,0,NA,C97,NA,NA,NA
Other Neoplasms (D00-D48),no.,761,652,1413,1686,1363,3049,2.2,D00-D48,2.2155059132720103,2.0904907975460123,2.1578202406227884
In situ neoplasms (D00-D09),no.,1,0,1,5,8,13,13,D00-D09,5,NA,13
"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",no.,1,0,1,1,0,1,1,D00,1,NA,1
Carcinoma in situ of other and unspecified digestive organs (D01),no.,0,0,0,1,0,1,NA,D01,NA,NA,NA
Carcinoma in situ of middle ear and respiratory system (D02),no.,0,0,0,0,0,0,NA,D02,NA,NA,NA
Melanoma in situ (D03),no.,0,0,0,0,0,0,NA,D03,NA,NA,NA
Carcinoma in situ of skin (D04),no.,0,0,0,3,4,7,NA,D04,NA,NA,NA
Carcinoma in situ of breast (D05),no.,0,0,0,0,3,3,NA,D05,NA,NA,NA
Carcinoma in situ of cervix uteri (D06),no.,0,0,0,0,0,0,NA,D06,NA,NA,NA
Carcinoma in situ of other and unspecified genital organs (D07),no.,0,0,0,0,1,1,NA,D07,NA,NA,NA
Carcinoma in situ of other and unspecified sites (D09),no.,0,0,0,0,0,0,NA,D09,NA,NA,NA
Benign neoplasms (D10-D36),no.,67,105,172,173,255,428,2.5,D10-D36,2.582089552238806,2.4285714285714284,2.488372093023256
Benign neoplasm of mouth and pharynx (D10),no.,0,0,0,0,1,1,NA,D10,NA,NA,NA
Benign neoplasm of major salivary glands (D11),no.,1,1,2,2,3,5,2.5,D11,2,3,2.5
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",no.,1,0,1,7,7,14,14,D12,7,NA,14
Benign neoplasm of other and ill-defined parts of digestive system (D13),no.,1,5,6,4,9,13,2.2,D13,4,1.8,2.1666666666666665
Benign neoplasm of middle ear and respiratory system (D14),no.,0,0,0,3,1,4,NA,D14,NA,NA,NA
Benign neoplasm of other and unspecified intrathoracic organs (D15),no.,2,6,8,6,13,19,2.4,D15,3,2.1666666666666665,2.375
Benign neoplasm of bone and articular cartilage (D16),no.,0,1,1,0,2,2,2,D16,NA,2,2
Benign lipomatous neoplasm (D17),no.,0,0,0,2,2,4,NA,D17,NA,NA,NA
"Haemangioma and lymphangioma, any site (D18)",no.,4,2,6,14,12,26,4.3,D18,3.5,6,4.333333333333333
Benign neoplasm of mesothelial tissue (D19),no.,0,1,1,0,1,1,1,D19,NA,1,1
Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),no.,0,0,0,0,0,0,NA,D20,NA,NA,NA
Other benign neoplasms of connective and other soft tissue (D21),no.,1,2,3,1,2,3,1,D21,1,1,1
Melanocytic naevi (D22),no.,0,0,0,0,0,0,NA,D22,NA,NA,NA
Other benign neoplasms of skin (D23),no.,0,0,0,1,0,1,NA,D23,NA,NA,NA
Benign neoplasm of breast (D24),no.,0,0,0,0,0,0,NA,D24,NA,NA,NA
Leiomyoma of uterus (D25),no.,0,1,1,0,5,5,5,D25,NA,5,5
Other benign neoplasms of uterus (D26),no.,0,0,0,0,0,0,NA,D26,NA,NA,NA
Benign neoplasm of ovary (D27),no.,0,2,2,0,5,5,2.5,D27,NA,2.5,2.5
Benign neoplasm of other and unspecified female genital organs (D28),no.,0,0,0,0,0,0,NA,D28,NA,NA,NA
Benign neoplasm of male genital organs (D29),no.,0,0,0,0,0,0,NA,D29,NA,NA,NA
Benign neoplasm of urinary organs (D30),no.,2,1,3,3,1,4,1.3,D30,1.5,1,1.3333333333333333
Benign neoplasm of eye and adnexa (D31),no.,0,0,0,1,0,1,NA,D31,NA,NA,NA
Benign neoplasm of meninges (D32),no.,41,72,113,76,146,222,2,D32,1.853658536585366,2.0277777777777777,1.9646017699115044
Benign neoplasm of brain and other parts of central nervous system (D33),no.,4,4,8,10,14,24,3,D33,2.5,3.5,3
Benign neoplasm of thyroid gland (D34),no.,0,1,1,1,1,2,2,D34,NA,1,2
Benign neoplasm of other and unspecified endocrine glands (D35),no.,9,5,14,32,24,56,4,D35,3.5555555555555554,4.8,4
Benign neoplasm of other and unspecified sites (D36),no.,1,1,2,10,6,16,8,D36,10,6,8
Neoplasms of uncertain or unknown behaviour (D37-D48),no.,693,547,1240,1508,1100,2608,2.1,D37-D48,2.1760461760461762,2.010968921389397,2.1032258064516127
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),no.,53,69,122,96,103,199,1.6,D37,1.8113207547169812,1.4927536231884058,1.6311475409836065
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),no.,11,13,24,22,19,41,1.7,D38,2,1.4615384615384615,1.7083333333333333
Neoplasm of uncertain or unknown behaviour of female genital organs (D39),no.,0,3,3,0,7,7,2.3,D39,NA,2.3333333333333335,2.3333333333333335
Neoplasm of uncertain or unknown behaviour of male genital organs (D40),no.,1,0,1,2,0,2,2,D40,2,NA,2
Neoplasm of uncertain or unknown behaviour of urinary organs (D41),no.,13,7,20,40,19,59,3,D41,3.076923076923077,2.7142857142857144,2.95
Neoplasm of uncertain or unknown behaviour of meninges (D42),no.,0,1,1,0,2,2,2,D42,NA,2,2
Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),no.,63,53,116,87,75,162,1.4,D43,1.380952380952381,1.4150943396226414,1.396551724137931
Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),no.,12,5,17,20,15,35,2.1,D44,1.6666666666666667,3,2.0588235294117645
Polycythaemia vera (D45),no.,14,16,30,54,36,90,3,D45,3.857142857142857,2.25,3
Myelodysplastic syndromes (D46),no.,327,212,539,721,422,1143,2.1,D46,2.2048929663608563,1.990566037735849,2.1205936920222634
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",no.,175,138,313,420,344,764,2.4,D47,2.4,2.4927536231884058,2.440894568690096
Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),no.,24,30,54,46,58,104,1.9,D48,1.9166666666666667,1.9333333333333333,1.9259259259259258
CHAPTER III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),no.,305,329,634,2569,2355,4924,7.8,D50-D89,8.422950819672131,7.1580547112462005,7.766561514195583
Nutritional anaemias (D50-D53),no.,23,23,46,157,204,361,7.8,D50-D53,6.826086956521739,8.869565217391305,7.8478260869565215
Iron deficiency anaemia (D50),no.,18,19,37,137,181,318,8.6,D50,7.611111111111111,9.526315789473685,8.594594594594595
Vitamin B12 deficiency anaemia (D51),no.,0,4,4,5,18,23,5.8,D51,NA,4.5,5.75
Folate deficiency anaemia (D52),no.,4,0,4,13,4,17,4.3,D52,3.25,NA,4.25
Other nutritional anaemias (D53),no.,1,0,1,2,1,3,3,D53,2,NA,3
Haemolytic anaemias (D55-D59),no.,14,24,38,82,100,182,4.8,D55-D59,5.857142857142857,4.166666666666667,4.7894736842105265
Anaemia due to enzyme disorders (D55),no.,1,0,1,4,1,5,5,D55,4,NA,5
Thalassaemia (D56),no.,0,2,2,20,20,40,20,D56,NA,10,20
Sickle-cell disorders (D57),no.,0,2,2,1,2,3,1.5,D57,NA,1,1.5
Other hereditary haemolytic anaemias (D58),no.,5,6,11,17,20,37,3.4,D58,3.4,3.3333333333333335,3.3636363636363638
Acquired haemolytic anaemia (D59),no.,8,14,22,40,57,97,4.4,D59,5,4.071428571428571,4.409090909090909
Aplastic and other anaemias (D60-D64),no.,106,114,220,1109,1077,2186,9.9,D60-D64,10.462264150943396,9.447368421052632,9.936363636363636
Acquired pure red cell aplasia [erythroblastopenia] (D60),no.,3,2,5,7,5,12,2.4,D60,2.3333333333333335,2.5,2.4
Other aplastic anaemias (D61),no.,38,28,66,213,151,364,5.5,D61,5.605263157894737,5.392857142857143,5.515151515151516
Acute posthaemorrhagic anaemia (D62),no.,0,0,0,1,2,3,NA,D62,NA,NA,NA
Other anaemias (D64),no.,65,84,149,888,919,1807,12.1,D64,13.661538461538461,10.94047619047619,12.12751677852349
"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",no.,52,55,107,473,353,826,7.7,D65-D69,9.096153846153847,6.418181818181818,7.719626168224299
Disseminated intravascular coagulation [defibrination syndrome] (D65),no.,7,6,13,92,52,144,11.1,D65,13.142857142857142,8.666666666666666,11.076923076923077
Hereditary factor VIII deficiency (D66),no.,1,4,5,16,7,23,4.6,D66,16,1.75,4.6
Hereditary factor IX deficiency (D67),no.,0,0,0,0,0,0,NA,D67,NA,NA,NA
Other coagulation defects (D68),no.,24,21,45,132,131,263,5.8,D68,5.5,6.238095238095238,5.844444444444444
Purpura and other haemorrhagic conditions (D69),no.,20,24,44,233,163,396,9,D69,11.65,6.791666666666667,9
Other diseases of blood and blood-forming organs (D70-D77),no.,39,31,70,451,347,798,11.4,D70-D77,11.564102564102564,11.193548387096774,11.4
Agranulocytosis (D70),no.,7,13,20,241,192,433,21.7,D70,34.42857142857143,14.76923076923077,21.65
Functional disorders of polymorphonuclear neutrophils (D71),no.,0,0,0,2,1,3,NA,D71,NA,NA,NA
Other disorders of white blood cells (D72),no.,3,2,5,44,30,74,14.8,D72,14.666666666666666,15,14.8
Diseases of spleen (D73),no.,9,6,15,55,60,115,7.7,D73,6.111111111111111,10,7.666666666666667
Methaemoglobinaemia (D74),no.,1,0,1,2,0,2,2,D74,2,NA,2
Other diseases of blood and blood-forming organs (D75),no.,5,4,9,57,40,97,10.8,D75,11.4,10,10.777777777777779
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),no.,14,6,20,50,24,74,3.7,D76,3.5714285714285716,4,3.7
Certain disorders involving the immune mechanism (D80-D89),no.,71,82,153,297,274,571,3.7,D80-D89,4.183098591549296,3.341463414634146,3.7320261437908497
Immunodeficiency with predominantly antibody defects (D80),no.,2,7,9,11,28,39,4.3,D80,5.5,4,4.333333333333333
Combined immunodeficiencies (D81),no.,0,0,0,0,0,0,NA,D81,NA,NA,NA
Immunodeficiency associated with other major defects (D82),no.,4,2,6,8,5,13,2.2,D82,2,2.5,2.1666666666666665
Common variable immunodeficiency (D83),no.,0,2,2,4,5,9,4.5,D83,NA,2.5,4.5
Other immunodeficiencies (D84),no.,23,36,59,137,121,258,4.4,D84,5.956521739130435,3.361111111111111,4.372881355932203
Sarcoidosis (D86),no.,31,28,59,92,79,171,2.9,D86,2.967741935483871,2.8214285714285716,2.8983050847457625
"Other disorders involving the immune mechanism, not elsewhere classified (D89)",no.,11,7,18,45,36,81,4.5,D89,4.090909090909091,5.142857142857143,4.5
"CHAPTER IV Endocrine, nutritional and metabolic diseases (E00-E90)",no.,4499,4015,8514,23471,19828,43299,5.1,E00-E90,5.216937097132696,4.938480697384807,5.085623678646934
Disorders of thyroid gland (E00-E07),no.,19,117,136,496,1402,1898,14,E00-E07,26.105263157894736,11.982905982905983,13.955882352941176
Congenital iodine-deficiency syndrome (E00),no.,0,0,0,0,0,0,NA,E00,NA,NA,NA
Iodine-deficiency-related thyroid disorders and allied conditions (E01),no.,0,0,0,0,0,0,NA,E01,NA,NA,NA
Subclinical iodine-deficiency hypothyroidism (E02),no.,0,0,0,0,1,1,NA,E02,NA,NA,NA
Other hypothyroidism (E03),no.,11,62,73,374,1047,1421,19.5,E03,34,16.887096774193548,19.465753424657535
Other nontoxic goitre (E04),no.,1,11,12,16,53,69,5.8,E04,16,4.818181818181818,5.75
Thyrotoxicosis [hyperthyroidism] (E05),no.,6,38,44,87,210,297,6.8,E05,14.5,5.526315789473684,6.75
Thyroiditis (E06),no.,0,1,1,7,38,45,45,E06,NA,38,45
Other disorders of thyroid (E07),no.,1,5,6,12,53,65,10.8,E07,12,10.6,10.833333333333334
Diabetes mellitus (E10-E14),no.,3304,2661,5965,14926,11112,26038,4.4,E10-E14,4.517554479418886,4.17587373167982,4.365129924559933
Insulin-dependent diabetes mellitus (E10),no.,233,184,417,682,535,1217,2.9,E10,2.927038626609442,2.907608695652174,2.918465227817746
Non-insulin-dependent diabetes mellitus (E11),no.,1817,1434,3251,9166,6818,15984,4.9,E11,5.044578976334617,4.754532775453278,4.916641033528145
Malnutrition-related diabetes mellitus (E12),no.,1,0,1,1,0,1,1,E12,1,NA,1
Other specified diabetes mellitus (E13),no.,2,4,6,18,15,33,5.5,E13,9,3.75,5.5
Unspecified diabetes mellitus (E14),no.,1251,1039,2290,5059,3744,8803,3.8,E14,4.04396482813749,3.6034648700673726,3.8441048034934497
Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),no.,7,9,16,70,63,133,8.3,E15-E16,10,7,8.3125
Nondiabetic hypoglycaemic coma (E15),no.,0,1,1,2,1,3,3,E15,NA,1,3
Other disorders of pancreatic internal secretion (E16),no.,7,8,15,68,62,130,8.7,E16,9.714285714285714,7.75,8.666666666666666
Disorders of other endocrine glands (E20-E35),no.,22,44,66,233,295,528,8,E20-E35,10.590909090909092,6.704545454545454,8
Hypoparathyroidism (E20),no.,0,1,1,2,8,10,10,E20,NA,8,10
Hyperparathyroidism and other disorders of parathyroid gland (E21),no.,10,17,27,48,88,136,5,E21,4.8,5.176470588235294,5.037037037037037
Hyperfunction of pituitary gland (E22),no.,2,6,8,27,33,60,7.5,E22,13.5,5.5,7.5
Hypofunction and other disorders of pituitary gland (E23),no.,2,4,6,52,35,87,14.5,E23,26,8.75,14.5
Cushing syndrome (E24),no.,0,1,1,4,14,18,18,E24,NA,14,18
Adrenogenital disorders (E25),no.,0,0,0,1,4,5,NA,E25,NA,NA,NA
Hyperaldosteronism (E26),no.,1,0,1,9,4,13,13,E26,9,NA,13
Other disorders of adrenal gland (E27),no.,6,14,20,75,86,161,8.1,E27,12.5,6.142857142857143,8.05
Ovarian dysfunction (E28),no.,0,0,0,0,14,14,NA,E28,NA,NA,NA
Testicular dysfunction (E29),no.,0,0,0,5,0,5,NA,E29,NA,NA,NA
"Disorders of puberty, not elsewhere classified (E30)",no.,0,0,0,0,0,0,NA,E30,NA,NA,NA
Polyglandular dysfunction (E31),no.,0,0,0,0,2,2,NA,E31,NA,NA,NA
Diseases of thymus (E32),no.,0,1,1,0,1,1,1,E32,NA,1,1
Other endocrine disorders (E34),no.,1,0,1,10,6,16,16,E34,10,NA,16
Malnutrition (E40-E46),no.,62,96,158,482,513,995,6.3,E40-E46,7.774193548387097,5.34375,6.2974683544303796
Kwashiorkor (E40),no.,0,0,0,0,0,0,NA,E40,NA,NA,NA
Nutritional marasmus (E41),no.,0,3,3,3,8,11,3.7,E41,NA,2.6666666666666665,3.6666666666666665
Marasmic kwashiorkor (E42),no.,0,0,0,0,0,0,NA,E42,NA,NA,NA
Unspecified severe protein-energy malnutrition (E43),no.,13,18,31,48,44,92,3,E43,3.6923076923076925,2.4444444444444446,2.967741935483871
Protein-energy malnutrition of moderate and mild degree (E44),no.,0,0,0,0,0,0,NA,E44,NA,NA,NA
Retarded development following protein-energy malnutrition (E45),no.,0,0,0,0,0,0,NA,E45,NA,NA,NA
Unspecified protein-energy malnutrition (E46),no.,49,75,124,431,461,892,7.2,E46,8.795918367346939,6.1466666666666665,7.193548387096774
Other nutritional deficiencies (E50-E64),no.,8,14,22,134,152,286,13,E50-E64,16.75,10.857142857142858,13
Vitamin A deficiency (E50),no.,0,0,0,0,0,0,NA,E50,NA,NA,NA
Thiamine deficiency (E51),no.,4,6,10,32,11,43,4.3,E51,8,1.8333333333333333,4.3
Niacin deficiency [pellagra] (E52),no.,0,0,0,0,0,0,NA,E52,NA,NA,NA
Deficiency of other B group vitamins (E53),no.,1,1,2,26,32,58,29,E53,26,32,29
Ascorbic acid deficiency (E54),no.,1,0,1,2,0,2,2,E54,2,NA,2
Vitamin D deficiency (E55),no.,0,0,0,23,21,44,NA,E55,NA,NA,NA
Other vitamin deficiencies (E56),no.,0,0,0,2,0,2,NA,E56,NA,NA,NA
Dietary calcium deficiency (E58),no.,0,0,0,0,0,0,NA,E58,NA,NA,NA
Dietary selenium deficiency (E59),no.,0,0,0,0,0,0,NA,E59,NA,NA,NA
Dietary zinc deficiency (E60),no.,0,0,0,0,0,0,NA,E60,NA,NA,NA
Deficiency of other nutrient elements (E61),no.,2,5,7,41,77,118,16.9,E61,20.5,15.4,16.857142857142858
Other nutritional deficiencies (E63),no.,0,2,2,5,9,14,7,E63,NA,4.5,7
Sequelae of malnutrition and other nutritional deficiencies (E64),no.,0,0,0,3,2,5,NA,E64,NA,NA,NA
Obesity and other hyperalimentation (E65-E68),no.,235,226,461,1358,1100,2458,5.3,E65-E68,5.778723404255319,4.867256637168142,5.331887201735358
Localized adiposity (E65),no.,0,0,0,0,0,0,NA,E65,NA,NA,NA
Obesity (E66),no.,234,226,460,1357,1100,2457,5.3,E66,5.799145299145299,4.867256637168142,5.341304347826087
Other hyperalimentation (E67),no.,1,0,1,1,0,1,1,E67,1,NA,1
Sequelae of hyperalimentation (E68),no.,0,0,0,0,0,0,NA,E68,NA,NA,NA
Metabolic disorders (E70-E90),no.,842,848,1690,5772,5191,10963,6.5,E70-E90,6.855106888361045,6.121462264150943,6.48698224852071
Disorders of aromatic amino-acid metabolism (E70),no.,0,0,0,0,2,2,NA,E70,NA,NA,NA
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),no.,4,3,7,4,7,11,1.6,E71,1,2.3333333333333335,1.5714285714285714
Other disorders of amino-acid metabolism (E72),no.,4,4,8,7,8,15,1.9,E72,1.75,2,1.875
Lactose intolerance (E73),no.,0,0,0,0,0,0,NA,E73,NA,NA,NA
Other disorders of carbohydrate metabolism (E74),no.,0,1,1,1,2,3,3,E74,NA,2,3
Disorders of sphingolipid metabolism and other lipid storage disorders (E75),no.,10,6,16,15,9,24,1.5,E75,1.5,1.5,1.5
Disorders of glycosaminoglycan metabolism (E76),no.,2,0,2,2,2,4,2,E76,1,NA,2
Disorders of glycoprotein metabolism (E77),no.,1,2,3,2,4,6,2,E77,2,2,2
Disorders of lipoprotein metabolism and other lipidaemias (E78),no.,366,356,722,3302,2640,5942,8.2,E78,9.021857923497267,7.415730337078652,8.229916897506925
Disorders of purine and pyrimidine metabolism (E79),no.,1,1,2,4,4,8,4,E79,4,4,4
Disorders of porphyrin and bilirubin metabolism (E80),no.,2,0,2,9,3,12,6,E80,4.5,NA,6
