cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Other specified infectious agents as the cause of diseases classified to other chapters (B98),no.,0,0,0,3,7,10,—,B98,Other specified infectious agents as the cause of diseases classified to other chapters,FALSE,FALSE,NA,NA,NA
Other infectious diseases  (B99),no.,26,28,54,241,260,501,9.3000000000000007,B99,Other infectious diseases,FALSE,FALSE,9.277777777777779,9.26923076923077,9.285714285714286
Other and unspecified infectious diseases (B99),no.,26,28,54,241,260,501,9.3000000000000007,B99,Other and unspecified infectious diseases,FALSE,FALSE,9.277777777777779,9.26923076923077,9.285714285714286
CHAPTER II Neoplasms (C00-D48),no.,29689,23130,52819,43852,33135,76987,1.5,C00-D48,CHAPTER II Neoplasms,TRUE,FALSE,1.457562619511918,1.4770453703391828,1.4325551232166018
Malignant neoplasms  (C00-C97),no.,28928,22478,51406,42166,31772,73938,1.4,C00-C97,Malignant neoplasms,FALSE,FALSE,1.438314593627203,1.4576189159292035,1.41347094937272
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",no.,750,319,1069,955,385,1340,1.3,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",FALSE,FALSE,1.2535079513564078,1.2733333333333334,1.206896551724138
Malignant neoplasm of lip (C00),no.,6,2,8,8,4,12,1.5,C00,Malignant neoplasm of lip,FALSE,FALSE,1.5,1.3333333333333333,2
Malignant neoplasm of base of tongue (C01),no.,52,19,71,60,21,81,1.1000000000000001,C01,Malignant neoplasm of base of tongue,FALSE,FALSE,1.1408450704225352,1.1538461538461537,1.105263157894737
Malignant neoplasm of other and unspecified parts of tongue (C02),no.,124,86,210,166,99,265,1.3,C02,Malignant neoplasm of other and unspecified parts of tongue,FALSE,FALSE,1.2619047619047619,1.3387096774193548,1.1511627906976745
Malignant neoplasm of gum (C03),no.,38,36,74,50,41,91,1.2,C03,Malignant neoplasm of gum,FALSE,FALSE,1.2297297297297298,1.3157894736842106,1.1388888888888888
Malignant neoplasm of floor of mouth (C04),no.,16,6,22,21,9,30,1.4,C04,Malignant neoplasm of floor of mouth,FALSE,FALSE,1.3636363636363635,1.3125,1.5
Malignant neoplasm of palate (C05),no.,13,5,18,17,6,23,1.3,C05,Malignant neoplasm of palate,FALSE,FALSE,1.2777777777777777,1.3076923076923077,1.2
Malignant neoplasm of other and unspecified parts of mouth (C06),no.,63,47,110,77,61,138,1.3,C06,Malignant neoplasm of other and unspecified parts of mouth,FALSE,FALSE,1.2545454545454546,1.2222222222222223,1.297872340425532
Malignant neoplasm of parotid gland (C07),no.,67,18,85,89,21,110,1.3,C07,Malignant neoplasm of parotid gland,FALSE,FALSE,1.2941176470588236,1.328358208955224,1.1666666666666667
Malignant neoplasm of other and unspecified major salivary glands (C08),no.,33,6,39,36,11,47,1.2,C08,Malignant neoplasm of other and unspecified major salivary glands,FALSE,FALSE,1.205128205128205,1.0909090909090908,1.8333333333333333
Malignant neoplasm of tonsil (C09),no.,87,19,106,115,27,142,1.3,C09,Malignant neoplasm of tonsil,FALSE,FALSE,1.3396226415094339,1.3218390804597702,1.4210526315789473
Malignant neoplasm of oropharynx (C10),no.,116,26,142,140,27,167,1.2,C10,Malignant neoplasm of oropharynx,FALSE,FALSE,1.176056338028169,1.206896551724138,1.0384615384615385
Malignant neoplasm of nasopharynx (C11),no.,43,23,66,52,24,76,1.2,C11,Malignant neoplasm of nasopharynx,FALSE,FALSE,1.1515151515151516,1.2093023255813953,1.0434782608695652
Malignant neoplasm of pyriform sinus (C12),no.,7,3,10,10,3,13,1.3,C12,Malignant neoplasm of pyriform sinus,FALSE,FALSE,1.3,1.4285714285714286,1
Malignant neoplasm of hypopharynx (C13),no.,43,14,57,49,14,63,1.1000000000000001,C13,Malignant neoplasm of hypopharynx,FALSE,FALSE,1.105263157894737,1.1395348837209303,1
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",no.,42,9,51,65,17,82,1.6,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",FALSE,FALSE,1.607843137254902,1.5476190476190477,1.8888888888888888
Malignant neoplasms of digestive organs  (C15-C26),no.,8633,6402,15035,9953,7226,17179,1.1000000000000001,C15-C26,Malignant neoplasms of digestive organs,FALSE,FALSE,1.142600598603259,1.1529016564346113,1.1287097781943143
Malignant neoplasm of oesophagus (C15),no.,1060,378,1438,1163,414,1577,1.1000000000000001,C15,Malignant neoplasm of oesophagus,FALSE,FALSE,1.0966620305980528,1.0971698113207546,1.0952380952380953
Malignant neoplasm of stomach (C16),no.,773,429,1202,839,467,1306,1.1000000000000001,C16,Malignant neoplasm of stomach,FALSE,FALSE,1.086522462562396,1.0853816300129366,1.0885780885780887
Malignant neoplasm of small intestine (C17),no.,97,79,176,108,88,196,1.1000000000000001,C17,Malignant neoplasm of small intestine,FALSE,FALSE,1.1136363636363635,1.1134020618556701,1.1139240506329113
Malignant neoplasm of colon (C18),no.,735,692,1427,945,853,1798,1.3,C18,Malignant neoplasm of colon,FALSE,FALSE,1.2599859845830415,1.2857142857142858,1.2326589595375723
Malignant neoplasm of rectosigmoid junction (C19),no.,1253,959,2212,1439,1064,2503,1.1000000000000001,C19,Malignant neoplasm of rectosigmoid junction,FALSE,FALSE,1.1315551537070525,1.1484437350359138,1.1094890510948905
Malignant neoplasm of rectum (C20),no.,426,276,702,549,341,890,1.3,C20,Malignant neoplasm of rectum,FALSE,FALSE,1.2678062678062678,1.2887323943661972,1.2355072463768115
Malignant neoplasm of anus and anal canal (C21),no.,53,75,128,66,91,157,1.2,C21,Malignant neoplasm of anus and anal canal,FALSE,FALSE,1.2265625,1.2452830188679245,1.2133333333333334
Malignant neoplasm of liver and intrahepatic bile ducts (C22),no.,1559,893,2452,1787,962,2749,1.1000000000000001,C22,Malignant neoplasm of liver and intrahepatic bile ducts,FALSE,FALSE,1.121125611745514,1.1462475946119308,1.0772676371780514
Malignant neoplasm of gallbladder (C23),no.,54,127,181,58,139,197,1.1000000000000001,C23,Malignant neoplasm of gallbladder,FALSE,FALSE,1.0883977900552486,1.0740740740740742,1.094488188976378
Malignant neoplasm of other and unspecified parts of biliary tract (C24),no.,84,71,155,108,91,199,1.3,C24,Malignant neoplasm of other and unspecified parts of biliary tract,FALSE,FALSE,1.2838709677419355,1.2857142857142858,1.2816901408450705
Malignant neoplasm of pancreas (C25),no.,2012,1861,3873,2126,1943,4069,1.1000000000000001,C25,Malignant neoplasm of pancreas,FALSE,FALSE,1.050606764781823,1.0566600397614314,1.044062332079527
Malignant neoplasm of other and ill-defined digestive organs (C26),no.,527,562,1089,765,773,1538,1.4,C26,Malignant neoplasm of other and ill-defined digestive organs,FALSE,FALSE,1.4123048668503213,1.4516129032258065,1.3754448398576513
Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),no.,5499,3938,9437,6306,4471,10777,1.1000000000000001,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,FALSE,FALSE,1.1419942778425347,1.1467539552645936,1.1353478923311326
Malignant neoplasm of nasal cavity and middle ear (C30),no.,5,3,8,7,4,11,1.4,C30,Malignant neoplasm of nasal cavity and middle ear,FALSE,FALSE,1.375,1.4,1.3333333333333333
Malignant neoplasm of accessory sinuses (C31),no.,31,16,47,32,17,49,1,C31,Malignant neoplasm of accessory sinuses,FALSE,FALSE,1.0425531914893618,1.032258064516129,1.0625
Malignant neoplasm of larynx (C32),no.,183,17,200,261,23,284,1.4,C32,Malignant neoplasm of larynx,FALSE,FALSE,1.42,1.4262295081967213,1.3529411764705883
Malignant neoplasm of trachea (C33),no.,5,1,6,6,1,7,1.2,C33,Malignant neoplasm of trachea,FALSE,FALSE,1.1666666666666667,1.2,1
Malignant neoplasm of bronchus and lung (C34),no.,5239,3874,9113,5957,4398,10355,1.1000000000000001,C34,Malignant neoplasm of bronchus and lung,FALSE,FALSE,1.1362888181718425,1.137049055163199,1.1352607124419205
Malignant neoplasm of thymus (C37),no.,16,17,33,19,17,36,1.1000000000000001,C37,Malignant neoplasm of thymus,FALSE,FALSE,1.0909090909090908,1.1875,1
"Malignant neoplasm of heart, mediastinum and pleura (C38)",no.,17,10,27,21,11,32,1.2,C38,"Malignant neoplasm of heart, mediastinum and pleura",FALSE,FALSE,1.1851851851851851,1.2352941176470589,1.1
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),no.,3,0,3,3,0,3,1,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,FALSE,FALSE,1,1,NA
Malignant neoplasms of bone and articular cartilage  (C40-C41),no.,62,43,105,72,46,118,1.1000000000000001,C40-C41,Malignant neoplasms of bone and articular cartilage,FALSE,FALSE,1.1238095238095238,1.1612903225806452,1.069767441860465
Malignant neoplasm of bone and articular cartilage of limbs (C40),no.,4,1,5,6,1,7,1.4,C40,Malignant neoplasm of bone and articular cartilage of limbs,FALSE,FALSE,1.4,1.5,1
Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),no.,58,42,100,66,45,111,1.1000000000000001,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,FALSE,FALSE,1.11,1.1379310344827587,1.0714285714285714
Melanoma and other malignant neoplasms of skin  (C43-C44),no.,1544,757,2301,2268,1077,3345,1.5,C43-C44,Melanoma and other malignant neoplasms of skin,FALSE,FALSE,1.4537157757496741,1.4689119170984455,1.4227212681638044
Malignant melanoma of skin (C43),no.,969,514,1483,1314,669,1983,1.3,C43,Malignant melanoma of skin,FALSE,FALSE,1.337154416722859,1.3560371517027863,1.301556420233463
Other malignant neoplasms of skin (C44),no.,575,243,818,954,408,1362,1.7,C44,Other malignant neoplasms of skin,FALSE,FALSE,1.6650366748166259,1.6591304347826088,1.6790123456790123
Malignant neoplasms of mesothelial and soft tissue  (C45-C49),no.,749,364,1113,837,407,1244,1.1000000000000001,C45-C49,Malignant neoplasms of mesothelial and soft tissue,FALSE,FALSE,1.1176999101527403,1.1174899866488652,1.1181318681318682
Mesothelioma (C45),no.,513,151,664,553,163,716,1.1000000000000001,C45,Mesothelioma,FALSE,FALSE,1.0783132530120483,1.077972709551657,1.0794701986754967
Kaposi sarcoma (C46),no.,3,0,3,5,0,5,1.7,C46,Kaposi sarcoma,FALSE,FALSE,1.6666666666666667,1.6666666666666667,NA
Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),no.,7,5,12,7,6,13,1.1000000000000001,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,FALSE,FALSE,1.0833333333333333,1,1.2
Malignant neoplasm of retroperitoneum and peritoneum (C48),no.,23,62,85,28,66,94,1.1000000000000001,C48,Malignant neoplasm of retroperitoneum and peritoneum,FALSE,FALSE,1.1058823529411765,1.2173913043478262,1.064516129032258
Malignant neoplasm of other connective and soft tissue (C49),no.,203,146,349,244,172,416,1.2,C49,Malignant neoplasm of other connective and soft tissue,FALSE,FALSE,1.191977077363897,1.2019704433497538,1.178082191780822
Malignant neoplasm of breast  (C50),no.,25,3178,3203,48,4424,4472,1.4,C50,Malignant neoplasm of breast,FALSE,FALSE,1.3961910708710583,1.92,1.3920704845814977
Malignant neoplasm of breast (C50),no.,25,3178,3203,48,4424,4472,1.4,C50,Malignant neoplasm of breast,FALSE,FALSE,1.3961910708710583,1.92,1.3920704845814977
Malignant neoplasms of female genital organs  (C51-C58),no.,0,2238,2238,0,2538,2538,1.1000000000000001,C51-C58,Malignant neoplasms of female genital organs,FALSE,FALSE,1.1340482573726542,NA,1.1340482573726542
Malignant neoplasm of vulva (C51),no.,0,116,116,0,136,136,1.2,C51,Malignant neoplasm of vulva,FALSE,FALSE,1.1724137931034482,NA,1.1724137931034482
Malignant neoplasm of vagina (C52),no.,0,32,32,0,36,36,1.1000000000000001,C52,Malignant neoplasm of vagina,FALSE,FALSE,1.125,NA,1.125
Malignant neoplasm of cervix uteri (C53),no.,0,248,248,0,287,287,1.2,C53,Malignant neoplasm of cervix uteri,FALSE,FALSE,1.157258064516129,NA,1.157258064516129
Malignant neoplasm of corpus uteri (C54),no.,0,505,505,0,591,591,1.2,C54,Malignant neoplasm of corpus uteri,FALSE,FALSE,1.1702970297029702,NA,1.1702970297029702
"Malignant neoplasm of uterus, part unspecified (C55)",no.,0,191,191,0,230,230,1.2,C55,"Malignant neoplasm of uterus, part unspecified",FALSE,FALSE,1.2041884816753927,NA,1.2041884816753927
Malignant neoplasm of ovary (C56),no.,0,1045,1045,0,1144,1144,1.1000000000000001,C56,Malignant neoplasm of ovary,FALSE,FALSE,1.0947368421052632,NA,1.0947368421052632
Malignant neoplasm of other and unspecified female genital organs (C57),no.,0,100,100,0,113,113,1.1000000000000001,C57,Malignant neoplasm of other and unspecified female genital organs,FALSE,FALSE,1.13,NA,1.13
Malignant neoplasm of placenta (C58),no.,0,1,1,0,1,1,1,C58,Malignant neoplasm of placenta,FALSE,FALSE,1,NA,1
Malignant neoplasms of male genital organs  (C60-C63),no.,3899,0,3899,6094,0,6094,1.6,C60-C63,Malignant neoplasms of male genital organs,FALSE,FALSE,1.5629648627853296,1.5629648627853296,NA
Malignant neoplasm of penis (C60),no.,27,0,27,37,0,37,1.4,C60,Malignant neoplasm of penis,FALSE,FALSE,1.3703703703703705,1.3703703703703705,NA
Malignant neoplasm of prostate (C61),no.,3835,0,3835,6010,0,6010,1.6,C61,Malignant neoplasm of prostate,FALSE,FALSE,1.5671447196870925,1.5671447196870925,NA
Malignant neoplasm of testis (C62),no.,35,0,35,45,0,45,1.3,C62,Malignant neoplasm of testis,FALSE,FALSE,1.2857142857142858,1.2857142857142858,NA
Malignant neoplasm of other and unspecified male genital organs (C63),no.,2,0,2,2,0,2,1,C63,Malignant neoplasm of other and unspecified male genital organs,FALSE,FALSE,1,1,NA
Malignant neoplasms of urinary tract  (C64-C68),no.,1959,871,2830,2713,1098,3811,1.3,C64-C68,Malignant neoplasms of urinary tract,FALSE,FALSE,1.3466431095406362,1.3848902501276161,1.2606199770378874
"Malignant neoplasm of kidney, except renal pelvis (C64)",no.,678,349,1027,905,441,1346,1.3,C64,"Malignant neoplasm of kidney, except renal pelvis",FALSE,FALSE,1.3106134371957157,1.3348082595870205,1.2636103151862463
Malignant neoplasm of renal pelvis (C65),no.,2,4,6,3,6,9,1.5,C65,Malignant neoplasm of renal pelvis,FALSE,FALSE,1.5,1.5,1.5
Malignant neoplasm of ureter (C66),no.,9,10,19,14,12,26,1.4,C66,Malignant neoplasm of ureter,FALSE,FALSE,1.368421052631579,1.5555555555555556,1.2
Malignant neoplasm of bladder (C67),no.,847,342,1189,1270,449,1719,1.4,C67,Malignant neoplasm of bladder,FALSE,FALSE,1.445752733389403,1.499409681227863,1.3128654970760234
Malignant neoplasm of other and unspecified urinary organs (C68),no.,423,166,589,521,190,711,1.2,C68,Malignant neoplasm of other and unspecified urinary organs,FALSE,FALSE,1.2071307300509337,1.2316784869976358,1.144578313253012
"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",no.,1030,714,1744,1085,747,1832,1.1000000000000001,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",FALSE,FALSE,1.0504587155963303,1.0533980582524272,1.046218487394958
Malignant neoplasm of eye and adnexa (C69),no.,28,25,53,36,27,63,1.2,C69,Malignant neoplasm of eye and adnexa,FALSE,FALSE,1.1886792452830188,1.2857142857142858,1.08
Malignant neoplasm of meninges (C70),no.,6,5,11,8,6,14,1.3,C70,Malignant neoplasm of meninges,FALSE,FALSE,1.2727272727272727,1.3333333333333333,1.2
Malignant neoplasm of brain (C71),no.,987,676,1663,1030,705,1735,1,C71,Malignant neoplasm of brain,FALSE,FALSE,1.0432952495490078,1.043566362715299,1.0428994082840237
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",no.,9,8,17,11,9,20,1.2,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",FALSE,FALSE,1.1764705882352942,1.2222222222222223,1.125
Malignant neoplasms of thyroid and other endocrine glands  (C73-C75),no.,105,100,205,141,145,286,1.4,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,FALSE,FALSE,1.395121951219512,1.3428571428571427,1.45
Malignant neoplasm of thyroid gland (C73),no.,74,75,149,107,114,221,1.5,C73,Malignant neoplasm of thyroid gland,FALSE,FALSE,1.483221476510067,1.445945945945946,1.52
Malignant neoplasm of adrenal gland (C74),no.,26,22,48,28,23,51,1.1000000000000001,C74,Malignant neoplasm of adrenal gland,FALSE,FALSE,1.0625,1.0769230769230769,1.0454545454545454
Malignant neoplasm of other endocrine glands and related structures (C75),no.,5,3,8,6,8,14,1.8,C75,Malignant neoplasm of other endocrine glands and related structures,FALSE,FALSE,1.75,1.2,2.6666666666666665
"Malignant neoplasms of ill-defined, secondary and unspecified sites (C76-C80)",no.,1630,1434,3064,7453,6368,13821,4.5,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",FALSE,FALSE,4.510770234986945,4.57239263803681,4.4407252440725244
Malignant neoplasm of other and ill-defined sites (C76),no.,71,83,154,88,101,189,1.2,C76,Malignant neoplasm of other and ill-defined sites,FALSE,FALSE,1.2272727272727273,1.2394366197183098,1.216867469879518
Secondary and unspecified malignant neoplasm of lymph nodes (C77),no.,0,0,0,197,155,352,—,C77,Secondary and unspecified malignant neoplasm of lymph nodes,FALSE,FALSE,NA,NA,NA
Secondary malignant neoplasm of respiratory and digestive organs (C78),no.,0,0,0,2312,1974,4286,—,C78,Secondary malignant neoplasm of respiratory and digestive organs,FALSE,FALSE,NA,NA,NA
Secondary malignant neoplasm of other and unspecified sites (C79),no.,0,0,0,2925,2561,5486,—,C79,Secondary malignant neoplasm of other and unspecified sites,FALSE,FALSE,NA,NA,NA
"Malignant neoplasm, without specification of site (C80)",no.,1559,1351,2910,1931,1577,3508,1.2,C80,"Malignant neoplasm, without specification of site",FALSE,FALSE,1.2054982817869415,1.2386144964720975,1.1672834937083643
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)",no.,3043,2120,5163,4241,2840,7081,1.4,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",FALSE,FALSE,1.3714894441216348,1.3936904370686822,1.3396226415094339
Hodgkin lymphoma (C81),no.,51,44,95,91,60,151,1.6,C81,Hodgkin lymphoma,FALSE,FALSE,1.5894736842105264,1.7843137254901962,1.3636363636363635
Follicular lymphoma (C82),no.,53,43,96,93,65,158,1.6,C82,Follicular lymphoma,FALSE,FALSE,1.6458333333333333,1.7547169811320755,1.5116279069767442
Non-follicular lymphoma (C83),no.,455,270,725,563,330,893,1.2,C83,Non-follicular lymphoma,FALSE,FALSE,1.2317241379310344,1.2373626373626374,1.2222222222222223
Mature T/NK-cell lymphomas (C84),no.,95,44,139,116,56,172,1.2,C84,Mature T/NK-cell lymphomas,FALSE,FALSE,1.2374100719424461,1.2210526315789474,1.2727272727272727
Other and unspecified types of non-Hodgkin lymphoma (C85),no.,396,393,789,662,586,1248,1.6,C85,Other and unspecified types of non-Hodgkin lymphoma,FALSE,FALSE,1.5817490494296578,1.6717171717171717,1.491094147582697
Other specified types of T/NK-cell lymphoma (C86),no.,15,5,20,17,5,22,1.1000000000000001,C86,Other specified types of T/NK-cell lymphoma,FALSE,FALSE,1.1,1.1333333333333333,1
Malignant immunoproliferative diseases (C88),no.,32,22,54,64,37,101,1.9,C88,Malignant immunoproliferative diseases,FALSE,FALSE,1.8703703703703705,2,1.6818181818181819
Multiple myeloma and malignant plasma cell neoplasms (C90),no.,624,450,1074,805,577,1382,1.3,C90,Multiple myeloma and malignant plasma cell neoplasms,FALSE,FALSE,1.2867783985102421,1.2900641025641026,1.2822222222222222
Lymphoid leukaemia (C91),no.,294,202,496,548,332,880,1.8,C91,Lymphoid leukaemia,FALSE,FALSE,1.7741935483870968,1.8639455782312926,1.6435643564356435
Myeloid leukaemia (C92),no.,805,523,1328,967,621,1588,1.2,C92,Myeloid leukaemia,FALSE,FALSE,1.1957831325301205,1.2012422360248447,1.187380497131931
Monocytic leukaemia (C93),no.,110,47,157,159,68,227,1.4,C93,Monocytic leukaemia,FALSE,FALSE,1.4458598726114649,1.4454545454545455,1.446808510638298
Other leukaemias of specified cell type (C94),no.,10,3,13,11,3,14,1.1000000000000001,C94,Other leukaemias of specified cell type,FALSE,FALSE,1.0769230769230769,1.1,1
Leukaemia of unspecified cell type (C95),no.,76,56,132,103,77,180,1.4,C95,Leukaemia of unspecified cell type,FALSE,FALSE,1.3636363636363635,1.355263157894737,1.375
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",no.,27,18,45,42,23,65,1.4,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",FALSE,FALSE,1.4444444444444444,1.5555555555555556,1.2777777777777777
Malignant neoplasms of independent (primary) multiple sites  (C97-C97),no.,0,0,0,0,0,0,—,C97-C97,Malignant neoplasms of independent,FALSE,FALSE,NA,NA,NA
Malignant neoplasms of independent (primary) multiple sites (C97),no.,0,0,0,0,0,0,—,C97,Malignant neoplasms of independent,FALSE,FALSE,NA,NA,NA
Other Neoplasms (D00-D48),no.,761,652,1413,1686,1363,3049,2.2000000000000002,D00-D48,Other Neoplasms,FALSE,FALSE,2.1578202406227884,2.2155059132720103,2.0904907975460123
In situ neoplasms (D00-D09),no.,1,0,1,5,8,13,13,D00-D09,In situ neoplasms,FALSE,FALSE,13,5,NA
"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",no.,1,0,1,1,0,1,1,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",FALSE,FALSE,1,1,NA
Carcinoma in situ of other and unspecified digestive organs (D01),no.,0,0,0,1,0,1,—,D01,Carcinoma in situ of other and unspecified digestive organs,FALSE,FALSE,NA,NA,NA
Carcinoma in situ of middle ear and respiratory system (D02),no.,0,0,0,0,0,0,—,D02,Carcinoma in situ of middle ear and respiratory system,FALSE,FALSE,NA,NA,NA
Melanoma in situ (D03),no.,0,0,0,0,0,0,—,D03,Melanoma in situ,FALSE,FALSE,NA,NA,NA
Carcinoma in situ of skin (D04),no.,0,0,0,3,4,7,—,D04,Carcinoma in situ of skin,FALSE,FALSE,NA,NA,NA
Carcinoma in situ of breast (D05),no.,0,0,0,0,3,3,—,D05,Carcinoma in situ of breast,FALSE,FALSE,NA,NA,NA
Carcinoma in situ of cervix uteri (D06),no.,0,0,0,0,0,0,—,D06,Carcinoma in situ of cervix uteri,FALSE,FALSE,NA,NA,NA
Carcinoma in situ of other and unspecified genital organs (D07),no.,0,0,0,0,1,1,—,D07,Carcinoma in situ of other and unspecified genital organs,FALSE,FALSE,NA,NA,NA
