cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Malignant neoplasm of larynx (C32),no.,60,42,28,30,40,3,C32,Malignant neoplasm of larynx,FALSE,FALSE
Malignant neoplasm of trachea (C33),no.,2,1,0,3,0,2.7,C33,Malignant neoplasm of trachea,FALSE,FALSE
Malignant neoplasm of bronchus and lung (C34),no.,3463,2110,1541,894,1105,2.5,C34,Malignant neoplasm of bronchus and lung,FALSE,FALSE
Malignant neoplasm of thymus (C37),no.,12,5,11,0,5,2.5,C37,Malignant neoplasm of thymus,FALSE,FALSE
"Malignant neoplasm of heart, mediastinum and pleura (C38)",no.,11,4,5,5,2,2.4,C38,"Malignant neoplasm of heart, mediastinum and pleura",FALSE,FALSE
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),no.,2,0,1,0,0,1.7,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,FALSE,FALSE
Malignant neoplasms of bone and articular cartilage  (C40-C41),no.,45,27,12,10,11,2.4,C40-C41,Malignant neoplasms of bone and articular cartilage,FALSE,FALSE
Malignant neoplasm of bone and articular cartilage of limbs (C40),no.,0,3,1,0,1,3.4,C40,Malignant neoplasm of bone and articular cartilage of limbs,FALSE,FALSE
Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),no.,45,24,11,10,10,2.3,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,FALSE,FALSE
Melanoma and other malignant neoplasms of skin  (C43-C44),no.,791,467,433,240,370,2.7,C43-C44,Melanoma and other malignant neoplasms of skin,FALSE,FALSE
Malignant melanoma of skin (C43),no.,621,290,256,132,184,2.5,C43,Malignant melanoma of skin,FALSE,FALSE
Other malignant neoplasms of skin (C44),no.,170,177,177,108,186,3.2,C44,Other malignant neoplasms of skin,FALSE,FALSE
Malignant neoplasms of mesothelial and soft tissue  (C45-C49),no.,511,231,164,95,112,2.2,C45-C49,Malignant neoplasms of mesothelial and soft tissue,FALSE,FALSE
Mesothelioma (C45),no.,302,131,100,69,62,2.3,C45,Mesothelioma,FALSE,FALSE
Kaposi sarcoma (C46),no.,1,1,0,0,1,3.3,C46,Kaposi sarcoma,FALSE,FALSE
Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),no.,5,5,0,2,0,1.9,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,FALSE,FALSE
Malignant neoplasm of retroperitoneum and peritoneum (C48),no.,41,19,15,2,8,2,C48,Malignant neoplasm of retroperitoneum and peritoneum,FALSE,FALSE
Malignant neoplasm of other connective and soft tissue (C49),no.,162,75,49,22,41,2.3,C49,Malignant neoplasm of other connective and soft tissue,FALSE,FALSE
Malignant neoplasm of breast  (C50),no.,1361,643,455,328,416,2.5,C50,Malignant neoplasm of breast,FALSE,FALSE
Malignant neoplasm of breast (C50),no.,1361,643,455,328,416,2.5,C50,Malignant neoplasm of breast,FALSE,FALSE
Malignant neoplasms of female genital organs  (C51-C58),no.,1011,490,319,209,209,2.2,C51-C58,Malignant neoplasms of female genital organs,FALSE,FALSE
Malignant neoplasm of vulva (C51),no.,43,23,15,15,20,2.6,C51,Malignant neoplasm of vulva,FALSE,FALSE
Malignant neoplasm of vagina (C52),no.,9,10,8,3,2,2.4,C52,Malignant neoplasm of vagina,FALSE,FALSE
Malignant neoplasm of cervix uteri (C53),no.,109,47,36,27,29,2.4,C53,Malignant neoplasm of cervix uteri,FALSE,FALSE
Malignant neoplasm of corpus uteri (C54),no.,219,96,83,55,52,2.4,C54,Malignant neoplasm of corpus uteri,FALSE,FALSE
"Malignant neoplasm of uterus, part unspecified (C55)",no.,79,38,30,20,24,2.4,C55,"Malignant neoplasm of uterus, part unspecified",FALSE,FALSE
Malignant neoplasm of ovary (C56),no.,507,255,135,75,73,2.1,C56,Malignant neoplasm of ovary,FALSE,FALSE
Malignant neoplasm of other and unspecified female genital organs (C57),no.,45,21,12,13,9,2.3,C57,Malignant neoplasm of other and unspecified female genital organs,FALSE,FALSE
Malignant neoplasm of placenta (C58),no.,0,0,0,1,0,4,C58,Malignant neoplasm of placenta,FALSE,FALSE
Malignant neoplasms of male genital organs  (C60-C63),no.,1316,795,694,437,657,2.8,C60-C63,Malignant neoplasms of male genital organs,FALSE,FALSE
Malignant neoplasm of penis (C60),no.,11,5,4,1,6,2.7,C60,Malignant neoplasm of penis,FALSE,FALSE
Malignant neoplasm of prostate (C61),no.,1288,782,685,434,646,2.8,C61,Malignant neoplasm of prostate,FALSE,FALSE
Malignant neoplasm of testis (C62),no.,16,7,5,2,5,2.4,C62,Malignant neoplasm of testis,FALSE,FALSE
Malignant neoplasm of other and unspecified male genital organs (C63),no.,1,1,0,0,0,1.5,C63,Malignant neoplasm of other and unspecified male genital organs,FALSE,FALSE
Malignant neoplasms of urinary tract  (C64-C68),no.,941,560,498,314,517,2.8,C64-C68,Malignant neoplasms of urinary tract,FALSE,FALSE
"Malignant neoplasm of kidney, except renal pelvis (C64)",no.,358,195,189,108,177,2.8,C64,"Malignant neoplasm of kidney, except renal pelvis",FALSE,FALSE
Malignant neoplasm of renal pelvis (C65),no.,4,2,0,0,0,1.3,C65,Malignant neoplasm of renal pelvis,FALSE,FALSE
Malignant neoplasm of ureter (C66),no.,3,4,5,3,4,3.6,C66,Malignant neoplasm of ureter,FALSE,FALSE
Malignant neoplasm of bladder (C67),no.,326,240,214,151,258,3.1,C67,Malignant neoplasm of bladder,FALSE,FALSE
Malignant neoplasm of other and unspecified urinary organs (C68),no.,250,119,90,52,78,2.4,C68,Malignant neoplasm of other and unspecified urinary organs,FALSE,FALSE
"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",no.,1101,288,184,81,90,1.8,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",FALSE,FALSE
Malignant neoplasm of eye and adnexa (C69),no.,27,11,9,2,4,2.1,C69,Malignant neoplasm of eye and adnexa,FALSE,FALSE
Malignant neoplasm of meninges (C70),no.,3,2,2,2,2,3.4,C70,Malignant neoplasm of meninges,FALSE,FALSE
Malignant neoplasm of brain (C71),no.,1059,273,172,76,83,1.8,C71,Malignant neoplasm of brain,FALSE,FALSE
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",no.,12,2,1,1,1,1.7,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",FALSE,FALSE
Malignant neoplasms of thyroid and other endocrine glands  (C73-C75),no.,89,44,35,17,20,2.3,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,FALSE,FALSE
Malignant neoplasm of thyroid gland (C73),no.,63,28,30,11,17,2.4,C73,Malignant neoplasm of thyroid gland,FALSE,FALSE
Malignant neoplasm of adrenal gland (C74),no.,22,14,4,5,3,2.1,C74,Malignant neoplasm of adrenal gland,FALSE,FALSE
Malignant neoplasm of other endocrine glands and related structures (C75),no.,4,2,1,1,0,1.9,C75,Malignant neoplasm of other endocrine glands and related structures,FALSE,FALSE
"Malignant neoplasms of ill-defined, secondary and unspecified sites (C76-C80)",no.,380,849,678,502,655,3.3,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",FALSE,FALSE
Malignant neoplasm of other and ill-defined sites (C76),no.,41,28,34,26,25,3.1,C76,Malignant neoplasm of other and ill-defined sites,FALSE,FALSE
Secondary and unspecified malignant neoplasm of lymph nodes (C77),no.,0,0,0,0,0,NA,C77,Secondary and unspecified malignant neoplasm of lymph nodes,FALSE,FALSE
Secondary malignant neoplasm of respiratory and digestive organs (C78),no.,0,0,0,0,0,NA,C78,Secondary malignant neoplasm of respiratory and digestive organs,FALSE,FALSE
Secondary malignant neoplasm of other and unspecified sites (C79),no.,0,0,0,0,0,NA,C79,Secondary malignant neoplasm of other and unspecified sites,FALSE,FALSE
"Malignant neoplasm, without specification of site (C80)",no.,339,821,644,476,630,3.3,C80,"Malignant neoplasm, without specification of site",FALSE,FALSE
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)",no.,1400,1137,920,657,1049,3,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",FALSE,FALSE
Hodgkin lymphoma (C81),no.,29,20,18,8,20,3,C81,Hodgkin lymphoma,FALSE,FALSE
Follicular lymphoma (C82),no.,24,25,14,11,22,3,C82,Follicular lymphoma,FALSE,FALSE
Non-follicular lymphoma (C83),no.,256,151,123,75,120,2.8,C83,Non-follicular lymphoma,FALSE,FALSE
Mature T/NK-cell lymphomas (C84),no.,48,32,25,12,22,2.7,C84,Mature T/NK-cell lymphomas,FALSE,FALSE
Other and unspecified types of non-Hodgkin lymphoma (C85),no.,203,150,153,97,186,3.2,C85,Other and unspecified types of non-Hodgkin lymphoma,FALSE,FALSE
Other specified types of T/NK-cell lymphoma (C86),no.,10,2,4,2,2,2.3,C86,Other specified types of T/NK-cell lymphoma,FALSE,FALSE
Malignant immunoproliferative diseases (C88),no.,10,12,9,13,10,3.4,C88,Malignant immunoproliferative diseases,FALSE,FALSE
Multiple myeloma and malignant plasma cell neoplasms (C90),no.,306,235,199,123,211,3,C90,Multiple myeloma and malignant plasma cell neoplasms,FALSE,FALSE
Lymphoid leukaemia (C91),no.,78,95,92,94,137,3.5,C91,Lymphoid leukaemia,FALSE,FALSE
Myeloid leukaemia (C92),no.,372,322,222,180,232,2.9,C92,Myeloid leukaemia,FALSE,FALSE
Monocytic leukaemia (C93),no.,24,46,33,19,35,3.3,C93,Monocytic leukaemia,FALSE,FALSE
Other leukaemias of specified cell type (C94),no.,3,1,5,0,4,3.8,C94,Other leukaemias of specified cell type,FALSE,FALSE
Leukaemia of unspecified cell type (C95),no.,28,37,15,17,35,3.1,C95,Leukaemia of unspecified cell type,FALSE,FALSE
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (C96)",no.,9,9,8,6,13,3.5,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",FALSE,FALSE
Malignant neoplasms of independent (primary) multiple sites  (C97-C97),no.,0,0,0,0,0,NA,C97-C97,Malignant neoplasms of independent,FALSE,FALSE
Malignant neoplasms of independent (primary) multiple sites (C97),no.,0,0,0,0,0,NA,C97,Malignant neoplasms of independent,FALSE,FALSE
Other Neoplasms (D00-D48),no.,266,281,272,216,378,3.5,D00-D48,Other Neoplasms,FALSE,FALSE
In situ neoplasms (D00-D09),no.,0,0,0,0,1,5,D00-D09,In situ neoplasms,FALSE,FALSE
"Carcinoma in situ of oral cavity, oesophagus and stomach (D00)",no.,0,0,0,0,1,5,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",FALSE,FALSE
Carcinoma in situ of other and unspecified digestive organs (D01),no.,0,0,0,0,0,NA,D01,Carcinoma in situ of other and unspecified digestive organs,FALSE,FALSE
Carcinoma in situ of middle ear and respiratory system (D02),no.,0,0,0,0,0,NA,D02,Carcinoma in situ of middle ear and respiratory system,FALSE,FALSE
Melanoma in situ (D03),no.,0,0,0,0,0,NA,D03,Melanoma in situ,FALSE,FALSE
Carcinoma in situ of skin (D04),no.,0,0,0,0,0,NA,D04,Carcinoma in situ of skin,FALSE,FALSE
Carcinoma in situ of breast (D05),no.,0,0,0,0,0,NA,D05,Carcinoma in situ of breast,FALSE,FALSE
Carcinoma in situ of cervix uteri (D06),no.,0,0,0,0,0,NA,D06,Carcinoma in situ of cervix uteri,FALSE,FALSE
Carcinoma in situ of other and unspecified genital organs (D07),no.,0,0,0,0,0,NA,D07,Carcinoma in situ of other and unspecified genital organs,FALSE,FALSE
Carcinoma in situ of other and unspecified sites (D09),no.,0,0,0,0,0,NA,D09,Carcinoma in situ of other and unspecified sites,FALSE,FALSE
Benign neoplasms (D10-D36),no.,27,30,28,31,56,3.8,D10-D36,Benign neoplasms,FALSE,FALSE
Benign neoplasm of mouth and pharynx (D10),no.,0,0,0,0,0,NA,D10,Benign neoplasm of mouth and pharynx,FALSE,FALSE
Benign neoplasm of major salivary glands (D11),no.,1,1,0,0,0,1.5,D11,Benign neoplasm of major salivary glands,FALSE,FALSE
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",no.,0,0,1,0,0,3,D12,"Benign neoplasm of colon, rectum, anus and anal canal",FALSE,FALSE
Benign neoplasm of other and ill-defined parts of digestive system (D13),no.,0,1,2,3,0,3.3,D13,Benign neoplasm of other and ill-defined parts of digestive system,FALSE,FALSE
Benign neoplasm of middle ear and respiratory system (D14),no.,0,0,0,0,0,NA,D14,Benign neoplasm of middle ear and respiratory system,FALSE,FALSE
Benign neoplasm of other and unspecified intrathoracic organs (D15),no.,1,2,0,2,3,4.5,D15,Benign neoplasm of other and unspecified intrathoracic organs,FALSE,FALSE
Benign neoplasm of bone and articular cartilage (D16),no.,0,1,0,0,0,2,D16,Benign neoplasm of bone and articular cartilage,FALSE,FALSE
Benign lipomatous neoplasm (D17),no.,0,0,0,0,0,NA,D17,Benign lipomatous neoplasm,FALSE,FALSE
"Haemangioma and lymphangioma, any site (D18)",no.,0,0,0,2,4,4.8,D18,"Haemangioma and lymphangioma, any site",FALSE,FALSE
Benign neoplasm of mesothelial tissue (D19),no.,0,0,0,0,1,5,D19,Benign neoplasm of mesothelial tissue,FALSE,FALSE
Benign neoplasm of soft tissue of retroperitoneum and peritoneum (D20),no.,0,0,0,0,0,NA,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,FALSE,FALSE
Other benign neoplasms of connective and other soft tissue (D21),no.,1,0,0,1,1,3.3,D21,Other benign neoplasms of connective and other soft tissue,FALSE,FALSE
Melanocytic naevi (D22),no.,0,0,0,0,0,NA,D22,Melanocytic naevi,FALSE,FALSE
Other benign neoplasms of skin (D23),no.,0,0,0,0,0,NA,D23,Other benign neoplasms of skin,FALSE,FALSE
Benign neoplasm of breast (D24),no.,0,0,0,0,0,NA,D24,Benign neoplasm of breast,FALSE,FALSE
Leiomyoma of uterus (D25),no.,0,0,0,0,1,5,D25,Leiomyoma of uterus,FALSE,FALSE
Other benign neoplasms of uterus (D26),no.,0,0,0,0,0,NA,D26,Other benign neoplasms of uterus,FALSE,FALSE
Benign neoplasm of ovary (D27),no.,0,2,0,0,0,2,D27,Benign neoplasm of ovary,FALSE,FALSE
Benign neoplasm of other and unspecified female genital organs (D28),no.,0,0,0,0,0,NA,D28,Benign neoplasm of other and unspecified female genital organs,FALSE,FALSE
Benign neoplasm of male genital organs (D29),no.,0,0,0,0,0,NA,D29,Benign neoplasm of male genital organs,FALSE,FALSE
Benign neoplasm of urinary organs (D30),no.,1,0,1,1,0,2.7,D30,Benign neoplasm of urinary organs,FALSE,FALSE
Benign neoplasm of eye and adnexa (D31),no.,0,0,0,0,0,NA,D31,Benign neoplasm of eye and adnexa,FALSE,FALSE
Benign neoplasm of meninges (D32),no.,21,17,21,17,37,3.7,D32,Benign neoplasm of meninges,FALSE,FALSE
Benign neoplasm of brain and other parts of central nervous system (D33),no.,1,3,0,3,1,3.1,D33,Benign neoplasm of brain and other parts of central nervous system,FALSE,FALSE
Benign neoplasm of thyroid gland (D34),no.,0,0,0,1,0,4,D34,Benign neoplasm of thyroid gland,FALSE,FALSE
Benign neoplasm of other and unspecified endocrine glands (D35),no.,1,1,3,1,8,5.4,D35,Benign neoplasm of other and unspecified endocrine glands,FALSE,FALSE
Benign neoplasm of other and unspecified sites (D36),no.,0,2,0,0,0,2,D36,Benign neoplasm of other and unspecified sites,FALSE,FALSE
Neoplasms of uncertain or unknown behaviour (D37-D48),no.,239,251,244,185,321,3.4,D37-D48,Neoplasms of uncertain or unknown behaviour,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),no.,26,21,29,14,32,3.4,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),no.,3,6,6,3,6,3.3,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of female genital organs (D39),no.,1,0,1,0,1,3.7,D39,Neoplasm of uncertain or unknown behaviour of female genital organs,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of male genital organs (D40),no.,0,1,0,0,0,2,D40,Neoplasm of uncertain or unknown behaviour of male genital organs,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of urinary organs (D41),no.,2,0,4,4,10,4.6,D41,Neoplasm of uncertain or unknown behaviour of urinary organs,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of meninges (D42),no.,0,0,0,0,1,7,D42,Neoplasm of uncertain or unknown behaviour of meninges,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),no.,42,26,21,9,18,2.5,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),no.,2,3,2,1,9,4.4,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,FALSE,FALSE
Polycythaemia vera (D45),no.,0,7,4,2,17,4.8,D45,Polycythaemia vera,FALSE,FALSE
Myelodysplastic syndromes (D46),no.,97,114,110,93,125,3.3,D46,Myelodysplastic syndromes,FALSE,FALSE
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",no.,50,57,57,56,93,3.7,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",FALSE,FALSE
Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),no.,16,16,10,3,9,2.7,D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,FALSE,FALSE
CHAPTER III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),no.,37,114,125,114,244,4.3,D50-D89,CHAPTER III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,TRUE,FALSE
Nutritional anaemias (D50-D53),no.,0,9,13,12,12,4,D50-D53,Nutritional anaemias,FALSE,FALSE
Iron deficiency anaemia (D50),no.,0,7,11,10,9,4,D50,Iron deficiency anaemia,FALSE,FALSE
Vitamin B12 deficiency anaemia (D51),no.,0,1,1,1,1,3.5,D51,Vitamin B12 deficiency anaemia,FALSE,FALSE
Folate deficiency anaemia (D52),no.,0,1,1,1,1,3.8,D52,Folate deficiency anaemia,FALSE,FALSE
Other nutritional anaemias (D53),no.,0,0,0,0,1,8,D53,Other nutritional anaemias,FALSE,FALSE
Haemolytic anaemias (D55-D59),no.,5,7,5,11,10,3.9,D55-D59,Haemolytic anaemias,FALSE,FALSE
Anaemia due to enzyme disorders (D55),no.,0,0,0,1,0,4,D55,Anaemia due to enzyme disorders,FALSE,FALSE
Thalassaemia (D56),no.,0,0,0,1,1,8,D56,Thalassaemia,FALSE,FALSE
Sickle-cell disorders (D57),no.,1,1,0,0,0,1.5,D57,Sickle-cell disorders,FALSE,FALSE
Other hereditary haemolytic anaemias (D58),no.,1,3,0,3,4,4.3,D58,Other hereditary haemolytic anaemias,FALSE,FALSE
Acquired haemolytic anaemia (D59),no.,3,3,5,6,5,3.5,D59,Acquired haemolytic anaemia,FALSE,FALSE
Aplastic and other anaemias (D60-D64),no.,14,49,61,35,61,3.8,D60-D64,Aplastic and other anaemias,FALSE,FALSE
Acquired pure red cell aplasia [erythroblastopenia] (D60),no.,1,2,2,0,0,2.2,D60,Acquired pure red cell aplasia [erythroblastopenia],FALSE,FALSE
Other aplastic anaemias (D61),no.,6,16,17,7,20,3.8,D61,Other aplastic anaemias,FALSE,FALSE
Acute posthaemorrhagic anaemia (D62),no.,0,0,0,0,0,NA,D62,Acute posthaemorrhagic anaemia,FALSE,FALSE
Other anaemias (D64),no.,7,31,42,28,41,3.8,D64,Other anaemias,FALSE,FALSE
"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",no.,6,23,16,17,45,4.5,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",FALSE,FALSE
Disseminated intravascular coagulation [defibrination syndrome] (D65),no.,0,1,4,1,7,5.2,D65,Disseminated intravascular coagulation [defibrination syndrome],FALSE,FALSE
Hereditary factor VIII deficiency (D66),no.,1,2,1,1,0,2.4,D66,Hereditary factor VIII deficiency,FALSE,FALSE
Hereditary factor IX deficiency (D67),no.,0,0,0,0,0,NA,D67,Hereditary factor IX deficiency,FALSE,FALSE
Other coagulation defects (D68),no.,0,6,6,11,22,5.1,D68,Other coagulation defects,FALSE,FALSE
Purpura and other haemorrhagic conditions (D69),no.,5,14,5,4,16,3.9,D69,Purpura and other haemorrhagic conditions,FALSE,FALSE
Other diseases of blood and blood-forming organs (D70-D77),no.,6,14,13,12,25,4.1,D70-D77,Other diseases of blood and blood-forming organs,FALSE,FALSE
Agranulocytosis (D70),no.,1,2,3,6,8,4.8,D70,Agranulocytosis,FALSE,FALSE
Functional disorders of polymorphonuclear neutrophils (D71),no.,0,0,0,0,0,NA,D71,Functional disorders of polymorphonuclear neutrophils,FALSE,FALSE
Other disorders of white blood cells (D72),no.,2,0,0,2,1,3.2,D72,Other disorders of white blood cells,FALSE,FALSE
Diseases of spleen (D73),no.,0,5,3,0,7,4.1,D73,Diseases of spleen,FALSE,FALSE
Methaemoglobinaemia (D74),no.,1,0,0,0,0,1,D74,Methaemoglobinaemia,FALSE,FALSE
Other diseases of blood and blood-forming organs (D75),no.,0,1,4,0,4,4.7,D75,Other diseases of blood and blood-forming organs,FALSE,FALSE
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),no.,2,6,3,4,5,3.5,D76,Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue,FALSE,FALSE
Certain disorders involving the immune mechanism (D80-D89),no.,6,12,17,27,91,5.3,D80-D89,Certain disorders involving the immune mechanism,FALSE,FALSE
Immunodeficiency with predominantly antibody defects (D80),no.,0,0,0,2,7,6.6,D80,Immunodeficiency with predominantly antibody defects,FALSE,FALSE
Combined immunodeficiencies (D81),no.,0,0,0,0,0,NA,D81,Combined immunodeficiencies,FALSE,FALSE
Immunodeficiency associated with other major defects (D82),no.,1,1,1,0,3,4.2,D82,Immunodeficiency associated with other major defects,FALSE,FALSE
Common variable immunodeficiency (D83),no.,0,0,0,0,2,5,D83,Common variable immunodeficiency,FALSE,FALSE
